,episode steps,episode reward,accuracy
592,43458,27.0,98.64
593,43472,-87.0,98.63
594,43545,-28.0,98.63
595,43873,227.0,98.64
596,44439,465.0,98.66
597,44469,-71.0,98.66
598,44475,-95.0,98.65
599,44501,-75.0,98.65
600,44736,134.0,98.66
601,44770,-67.0,98.66
602,44773,-98.0,98.65
603,44847,-27.0,98.65
604,44971,23.0,98.65
605,44981,-91.0,98.65
606,45253,171.0,98.66
607,45427,73.0,98.66
608,45602,74.0,98.66
609,45632,-71.0,98.66
610,45658,-75.0,98.66
611,45668,-91.0,98.66
612,45880,111.0,98.66
613,46594,613.0,98.68
614,46625,-70.0,98.68
615,46730,4.0,98.68
616,46731,-100.0,98.68
617,46732,-100.0,98.68
618,46867,34.0,98.68
619,46884,-84.0,98.68
620,47044,59.0,98.68
621,47068,-77.0,98.68
622,47393,224.0,98.69
623,47559,65.0,98.69
624,47605,-55.0,98.69
625,47656,-50.0,98.69
626,47662,-95.0,98.68
627,47767,4.0,98.69
628,47893,25.0,98.69
629,48050,56.0,98.69
630,48219,68.0,98.69
631,48296,-24.0,98.69
632,48580,183.0,98.7
633,48594,-87.0,98.7
634,48693,-2.0,98.7
635,48743,-51.0,98.7
636,48824,-20.0,98.7
637,48901,-24.0,98.7
638,48993,-9.0,98.7
639,49046,-48.0,98.7
640,49062,-85.0,98.69
641,49073,-90.0,98.69
642,49108,-66.0,98.69
643,49109,-100.0,98.69
644,50035,825.0,98.71
645,50167,31.0,98.71
646,50304,36.0,98.71
647,50361,-44.0,98.71
648,50407,-55.0,98.71
649,50571,63.0,98.71
650,50851,179.0,98.72
651,51233,281.0,98.73
652,51387,53.0,98.73
653,51430,-58.0,98.73
654,51502,-29.0,98.73
655,51521,-82.0,98.73
656,51875,253.0,98.73
657,51890,-86.0,98.73
658,51891,-100.0,98.73
659,51917,-75.0,98.73
660,52027,9.0,98.73
661,52081,-47.0,98.73
662,52103,-79.0,98.73
663,52104,-100.0,98.73
664,52137,-68.0,98.72
665,52376,138.0,98.73
666,52464,-13.0,98.73
667,52532,-33.0,98.73
668,52533,-100.0,98.73
669,52680,46.0,98.73
670,52709,-72.0,98.73
671,52736,-74.0,98.73
672,52749,-88.0,98.72
673,52950,100.0,98.73
674,52951,-100.0,98.73
675,53136,84.0,98.73
676,53171,-66.0,98.73
677,53214,-58.0,98.73
678,53358,43.0,98.73
679,53395,-64.0,98.73
680,53526,30.0,98.73
681,53583,-44.0,98.73
682,53626,-58.0,98.73
683,53663,-64.0,98.73
684,53749,-15.0,98.73
685,53750,-100.0,98.72
686,54098,247.0,98.73
687,54337,138.0,98.73
688,54460,22.0,98.73
689,54553,-8.0,98.74
690,54567,-87.0,98.73
691,54585,-83.0,98.73
692,54624,-62.0,98.73
693,54625,-100.0,98.73
694,54986,260.0,98.74
695,55018,-69.0,98.73
696,55216,97.0,98.74
697,55264,-53.0,98.74
698,55417,52.0,98.74
699,55434,-84.0,98.74
700,55565,30.0,98.74
