,step,episode reward,accuracy,100 eps mean,time
416,33716.0,63.0,98.65,105.0,5081.030000
417,33764.0,46.0,98.64,105.4,5088.310000
418,33819.0,53.0,98.64,105.2,5096.580000
419,33887.0,66.0,98.64,105.6,5106.840000
420,33895.0,6.0,98.64,105.2,5108.050000
421,33980.0,83.0,98.64,102.3,5120.930000
422,34033.0,51.0,98.64,102.5,5129.020000
423,34101.0,66.0,98.64,95.2,5139.210000
424,34229.0,126.0,98.64,95.2,5158.370000
425,34243.0,12.0,98.64,94.7,5160.480000
426,34258.0,13.0,98.63,92.1,5162.740000
427,34463.0,203.0,98.64,92.1,5193.590000
428,34497.0,32.0,98.64,92.1,5198.700000
429,34554.0,55.0,98.64,90.8,5207.530000
430,34668.0,112.0,98.64,91.9,5224.700000
431,34701.0,31.0,98.64,91.2,5229.770000
432,34885.0,182.0,98.64,92.1,5257.460000
433,34953.0,66.0,98.64,90.5,5267.780000
434,34983.0,28.0,98.64,89.9,5272.310000
435,35031.0,46.0,98.64,90.0,5279.500000
436,35071.0,38.0,98.63,90.1,5285.500000
437,35341.0,268.0,98.64,92.6,5326.180000
438,35349.0,6.0,98.64,91.0,5327.410000
439,35399.0,48.0,98.64,90.7,5334.960000
440,35410.0,9.0,98.64,86.7,5336.610000
441,35421.0,9.0,98.63,86.6,5338.310000
442,35436.0,13.0,98.63,86.4,5340.600000
443,35475.0,37.0,98.63,85.9,5346.460000
444,35533.0,56.0,98.63,85.7,5355.270000
445,35568.0,33.0,98.63,84.4,5360.540000
446,35751.0,181.0,98.63,85.5,5388.180000
447,35911.0,158.0,98.63,85.8,5412.250000
448,36054.0,141.0,98.64,84.6,5433.790000
449,36076.0,20.0,98.63,83.2,5437.130000
450,36102.0,24.0,98.63,83.2,5441.090000
451,36173.0,69.0,98.63,83.7,5451.820000
452,36221.0,46.0,98.63,84.0,5459.090000
453,36231.0,8.0,98.63,83.0,5460.610000
454,36263.0,30.0,98.62,82.6,5465.390000
455,36273.0,8.0,98.62,80.2,5466.950000
456,36305.0,30.0,98.62,80.2,5471.830000
457,36324.0,17.0,98.62,80.1,5474.690000
458,36344.0,18.0,98.61,79.1,5477.730000
459,36439.0,93.0,98.62,78.9,5492.010000
460,36496.0,55.0,98.61,79.2,5500.740000
461,36532.0,34.0,98.61,79.0,5506.260000
462,36622.0,88.0,98.61,79.5,5519.870000
463,36646.0,22.0,98.61,78.3,5523.510000
464,36705.0,57.0,98.61,78.8,5532.350000
465,36750.0,43.0,98.61,78.5,5539.170000
466,36796.0,44.0,98.61,78.1,5546.010000
467,36866.0,68.0,98.61,78.6,5556.650000
468,36928.0,60.0,98.61,78.8,5565.920000
469,36976.0,46.0,98.6,78.9,5573.150000
470,37038.0,60.0,98.6,79.4,5582.560000
471,37048.0,8.0,98.6,79.2,5584.090000
472,37072.0,22.0,98.6,79.2,5587.700000
473,37104.0,30.0,98.6,78.2,5592.500000
474,37147.0,41.0,98.6,78.4,5598.980000
475,37195.0,46.0,98.59,78.6,5606.190000
476,37245.0,48.0,98.59,78.0,5613.750000
477,37300.0,53.0,98.59,78.1,5622.000000
478,37371.0,69.0,98.59,78.7,5632.650000
479,37416.0,43.0,98.59,78.2,5639.470000
480,37525.0,107.0,98.59,78.9,5655.860000
481,37540.0,13.0,98.59,78.8,5658.120000
482,37645.0,103.0,98.59,78.6,5673.890000
483,37662.0,15.0,98.59,78.6,5676.450000
484,37684.0,20.0,98.59,78.3,5679.730000
485,37718.0,32.0,98.58,78.2,5684.830000
486,37731.0,11.0,98.58,78.2,5686.790000
487,37853.0,120.0,98.58,79.3,5705.010000
488,37992.0,137.0,98.59,80.2,5725.910000
489,38034.0,40.0,98.58,80.5,5732.270000
490,38056.0,20.0,98.58,78.6,5735.590000
491,38217.0,159.0,98.59,79.7,5759.640000
492,38253.0,34.0,98.58,79.0,5765.040000
493,38293.0,38.0,98.58,78.3,5771.080000
494,38367.0,72.0,98.58,75.0,5782.240000
495,38439.0,70.0,98.58,72.6,5793.110000
496,38475.0,34.0,98.58,72.1,5798.490000
497,38534.0,57.0,98.58,72.5,5807.580000
498,38587.0,51.0,98.58,71.2,5815.560000
499,38714.0,125.0,98.58,69.1,5834.540000
500,38726.0,10.0,98.58,68.7,5836.370000
501,38735.0,7.0,98.57,67.5,5837.780000
502,38780.0,43.0,98.57,67.2,5844.480000
503,38813.0,31.0,98.57,65.9,5849.640000
504,38925.0,110.0,98.57,64.2,5866.410000
505,39057.0,130.0,98.58,64.5,5886.110000
506,39085.0,26.0,98.57,64.0,5890.320000
507,39129.0,42.0,98.57,62.9,5896.890000
508,39148.0,17.0,98.57,61.2,5899.790000
509,39179.0,29.0,98.57,61.5,5904.440000
510,39187.0,6.0,98.57,61.4,5905.680000
511,39206.0,17.0,98.56,61.2,5908.640000
512,39225.0,17.0,98.56,55.7,5911.520000
513,39254.0,27.0,98.56,55.0,5915.920000
514,39370.0,114.0,98.56,55.5,5933.310000
515,39539.0,167.0,98.56,56.9,5958.690000
516,39554.0,13.0,98.56,56.4,5960.940000
517,39639.0,83.0,98.56,56.8,5973.710000
518,39679.0,38.0,98.56,56.6,5979.720000
519,39692.0,11.0,98.56,56.0,5981.660000
520,39727.0,33.0,98.56,56.3,5987.010000
521,39739.0,10.0,98.55,55.6,5988.870000
522,39847.0,106.0,98.55,56.1,6005.260000
523,39917.0,68.0,98.55,56.2,6015.790000
524,40039.0,120.0,98.56,56.1,6034.200000
525,40047.0,6.0,98.55,56.0,6035.440000
526,40112.0,63.0,98.55,56.5,6045.250000
527,40136.0,22.0,98.55,54.7,6048.850000
528,40182.0,44.0,98.55,54.8,6055.760000
529,40248.0,64.0,98.55,54.9,6065.690000
530,40342.0,92.0,98.55,54.7,6079.770000
531,40490.0,146.0,98.55,55.9,6102.210000
532,40502.0,10.0,98.55,54.2,6104.040000
533,40512.0,8.0,98.55,53.6,6105.570000
534,40536.0,22.0,98.55,53.5,6109.240000
535,41057.0,519.0,98.56,58.3,6187.470000
536,41084.0,25.0,98.56,58.1,6191.570000
537,41603.0,517.0,98.58,60.6,6269.680000
538,41646.0,41.0,98.58,61.0,6276.210000
539,41831.0,183.0,98.58,62.3,6303.850000
540,41841.0,8.0,98.58,62.3,6305.370000
541,41854.0,11.0,98.58,62.3,6307.360000
542,41918.0,62.0,98.58,62.8,6317.000000
543,41932.0,12.0,98.57,62.6,6319.080000
544,42013.0,79.0,98.57,62.8,6331.360000
545,42033.0,18.0,98.57,62.6,6334.350000
546,42075.0,40.0,98.57,61.2,6340.710000
547,42336.0,259.0,98.58,62.2,6379.860000
548,42392.0,54.0,98.58,61.4,6388.380000
549,42638.0,244.0,98.58,63.6,6425.650000
550,42726.0,86.0,98.58,64.2,6438.770000
551,42786.0,58.0,98.58,64.1,6447.810000
552,42959.0,171.0,98.59,65.4,6473.880000
553,42972.0,11.0,98.58,65.4,6475.850000
554,43033.0,59.0,98.58,65.7,6485.040000
555,43042.0,7.0,98.58,65.7,6486.410000
