,step,episode reward,accuracy,100 eps mean,time
386,24031.0,17.0,98.19,99.8,2952.180000
387,24079.0,46.0,98.18,99.8,2958.100000
388,24258.0,177.0,98.19,97.6,2980.160000
389,24501.0,241.0,98.21,98.8,3009.860000
390,24530.0,27.0,98.21,98.7,3013.440000
391,24612.0,80.0,98.21,98.1,3023.510000
392,24693.0,79.0,98.21,97.9,3033.490000
393,24732.0,37.0,98.21,96.3,3038.300000
394,24765.0,31.0,98.2,95.8,3042.370000
395,24813.0,46.0,98.2,93.4,3048.310000
396,25156.0,341.0,98.23,96.1,3090.400000
397,25187.0,29.0,98.22,95.4,3094.300000
398,25452.0,263.0,98.24,97.0,3127.530000
399,25646.0,192.0,98.25,98.9,3151.450000
400,25673.0,25.0,98.25,98.8,3154.820000
401,25706.0,31.0,98.24,98.2,3158.850000
402,25736.0,28.0,98.24,97.7,3162.580000
403,26352.0,614.0,98.28,101.9,3238.650000
404,26376.0,22.0,98.28,101.9,3241.630000
405,26581.0,203.0,98.29,103.8,3266.970000
406,26614.0,31.0,98.29,101.5,3271.090000
407,26638.0,22.0,98.28,101.5,3274.180000
408,26838.0,198.0,98.29,103.4,3299.190000
409,26848.0,8.0,98.29,99.9,3300.420000
410,27195.0,345.0,98.31,103.2,3343.090000
411,27929.0,732.0,98.36,109.9,3433.960000
412,28103.0,172.0,98.36,111.4,3455.470000
413,28354.0,249.0,98.37,113.4,3486.320000
414,28555.0,199.0,98.38,113.4,3511.170000
415,28726.0,169.0,98.39,114.7,3532.300000
416,28766.0,38.0,98.39,111.1,3537.170000
417,28962.0,194.0,98.39,112.1,3561.150000
418,29074.0,110.0,98.4,112.2,3574.870000
419,29439.0,363.0,98.42,115.4,3619.690000
420,30103.0,662.0,98.45,121.8,3701.470000
421,30224.0,119.0,98.45,122.7,3716.520000
422,30284.0,58.0,98.45,122.8,3723.880000
423,30409.0,123.0,98.45,123.3,3739.360000
424,30587.0,176.0,98.46,123.9,3761.320000
425,30610.0,21.0,98.46,122.1,3764.190000
426,31125.0,513.0,98.48,127.1,3827.500000
427,31168.0,41.0,98.48,127.1,3832.810000
428,31216.0,46.0,98.48,126.2,3838.690000
429,31284.0,66.0,98.48,125.5,3847.070000
430,31312.0,26.0,98.48,125.5,3850.530000
431,31443.0,129.0,98.48,125.6,3866.540000
432,31504.0,59.0,98.48,124.3,3874.130000
433,31544.0,38.0,98.48,123.9,3879.030000
434,31835.0,289.0,98.49,126.1,3914.680000
435,31889.0,52.0,98.49,126.5,3921.290000
436,32284.0,393.0,98.5,130.2,3969.940000
437,32354.0,68.0,98.5,130.0,3978.550000
438,33165.0,809.0,98.54,134.8,4078.750000
439,33193.0,26.0,98.54,134.0,4082.190000
440,33440.0,245.0,98.55,136.1,4112.350000
441,33864.0,422.0,98.56,140.1,4164.570000
442,34053.0,187.0,98.57,141.8,4187.810000
443,34071.0,16.0,98.57,139.9,4190.070000
444,34090.0,17.0,98.56,127.4,4192.420000
445,34206.0,114.0,98.57,126.1,4206.640000
446,34304.0,96.0,98.57,126.8,4218.640000
447,34355.0,49.0,98.57,127.0,4224.880000
448,34375.0,18.0,98.56,127.1,4227.320000
449,34552.0,175.0,98.57,124.2,4249.120000
450,34655.0,101.0,98.57,125.2,4261.750000
451,34739.0,82.0,98.57,125.7,4272.030000
452,34858.0,117.0,98.57,126.8,4286.630000
453,34888.0,28.0,98.57,126.9,4290.310000
454,34957.0,67.0,98.57,127.4,4298.830000
455,35026.0,67.0,98.57,127.9,4307.450000
456,35432.0,404.0,98.58,130.9,4357.220000
457,35443.0,9.0,98.58,130.3,4358.570000
458,35515.0,70.0,98.58,130.5,4367.380000
459,35631.0,114.0,98.58,131.6,4381.670000
460,35701.0,68.0,98.58,132.1,4390.290000
461,35710.0,7.0,98.58,132.1,4391.410000
462,35768.0,56.0,98.58,132.5,4398.550000
463,35989.0,219.0,98.58,134.6,4425.780000
464,36319.0,328.0,98.59,137.7,4466.270000
465,36625.0,304.0,98.6,140.0,4504.070000
466,36660.0,33.0,98.6,139.9,4508.380000
467,37049.0,387.0,98.61,142.5,4556.240000
468,37274.0,223.0,98.62,143.6,4583.850000
469,37676.0,400.0,98.63,147.1,4633.390000
470,38144.0,466.0,98.65,151.1,4690.960000
471,38288.0,142.0,98.65,149.6,4708.560000
472,38553.0,263.0,98.66,151.9,4741.140000
473,39046.0,491.0,98.67,155.7,4801.630000
474,39076.0,28.0,98.67,155.5,4805.350000
475,39127.0,49.0,98.67,153.6,4811.600000
476,39359.0,230.0,98.68,155.7,4840.240000
477,39376.0,15.0,98.67,154.4,4842.340000
478,39387.0,9.0,98.67,154.0,4843.730000
479,39402.0,13.0,98.67,153.9,4845.590000
480,39413.0,9.0,98.67,153.8,4846.990000
481,39453.0,38.0,98.66,153.5,4851.920000
482,39524.0,69.0,98.66,154.0,4860.630000
483,39545.0,19.0,98.66,154.0,4863.240000
484,39677.0,130.0,98.66,155.1,4879.440000
